Name,URL,Author,Price,Number of Ratings,Average Rating
The Power of your Subconscious Mind,http://www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962?_encoding=UTF8&psc=1,Joseph Murphy,   98.00,4.5 out of 5 stars,"2,898"
The Subtle Art of Not Giving a F*ck,http://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549?_encoding=UTF8&psc=1,Mark Manson,   340.00,4.3 out of 5 stars,252
Think and Grow Rich,http://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911?_encoding=UTF8&psc=1,Napoleon Hill,   75.00,4.5 out of 5 stars,"2,416"
Indian Polity 5th Edition,http://www.amazon.in/Indian-Polity-5th-M-Laxmikanth/dp/935260363X?_encoding=UTF8&psc=1,M. Laxmikanth,   403.00,4.5 out of 5 stars,"1,941"
A Brief History of Time: From Big Bang to Black Holes,http://www.amazon.in/Brief-History-Time-Black-Holes/dp/0553175211?_encoding=UTF8&psc=1,Stephen Hawking,   220.00,4.5 out of 5 stars,527
Railway Assistant Loco Pilot and Technician 2018,http://www.amazon.in/Railway-Assistant-Loco-Pilot-Technician/dp/9312147560?_encoding=UTF8&psc=1,Arihant Experts,   199.00,4.0 out of 5 stars,60
Word Power Made Easy,http://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/8183071007?_encoding=UTF8&psc=1,Norman Lewis,   109.00,4.4 out of 5 stars,"4,752"
India 2018,http://www.amazon.in/India-2018-Publication-Division/dp/8123027389?_encoding=UTF8&psc=1,Publication Division,   230.00,3.5 out of 5 stars,43
Sapiens,http://www.amazon.in/Sapiens-Yuval-Noah-Harari/dp/0099590085?_encoding=UTF8&psc=1,Yuval Noah Harari,   288.00,4.6 out of 5 stars,902
Manorama Yearbook 2018,http://www.amazon.in/Manorama-Yearbook-2018-Mammen-Mathew/dp/9386025426?_encoding=UTF8&psc=1,Mammen Mathew,   195.00,4.1 out of 5 stars,142
RRB Group D Guide 2018,http://www.amazon.in/RRB-Group-D-Guide-2018/dp/9312147889?_encoding=UTF8&psc=1,Arihant Experts,   203.00,4.1 out of 5 stars,45
General Knowledge 2019,http://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/9312147307?_encoding=UTF8&psc=1,Manohar Pandey,   25.00,4.2 out of 5 stars,43
A Century is not Enough: My Roller-coaster Ride to Success,http://www.amazon.in/Century-not-Enough-Roller-coaster-Success/dp/9386228564?_encoding=UTF8&psc=1,Sourav Ganguly,   394.00,4.6 out of 5 stars,111
Quantitative Aptitude for Competitive Examinations,http://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026?_encoding=UTF8&psc=1,R S Aggarwal,   507.00,4.3 out of 5 stars,586
The Alchemist,http://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988?_encoding=UTF8&psc=1,Paulo Coelho,   224.00,4.6 out of 5 stars,"2,979"
How to Win Friends and Influence People,http://www.amazon.in/How-Win-Friends-Influence-People/dp/0091906350?_encoding=UTF8&psc=1,Dale Carnegie,   172.00,4.5 out of 5 stars,"1,835"
Immortal Talks,http://www.amazon.in/Immortal-Talks-Shunya/dp/8193305205?_encoding=UTF8&psc=1,Shunya,   249.00,4.8 out of 5 stars,535
RRB Group D Solved Papers and Practice Sets 2018,http://www.amazon.in/Group-Solved-Papers-Practice-Sets/dp/9312148559?_encoding=UTF8&psc=1,Arihant Experts,   120.00,4.4 out of 5 stars,12
A Brief History of Modern India,http://www.amazon.in/Brief-History-Modern-India/dp/8179306542?_encoding=UTF8&psc=1,Rajiv Ahir,   265.00,4.2 out of 5 stars,141
Will You Still Love Me?,http://www.amazon.in/Will-You-Still-Love-Me/dp/0143429361?_encoding=UTF8&psc=1,RAVINDER SINGH,   109.00,4.8 out of 5 stars,77
Diary of a Wimpy Kid: The Getaway (book 12),http://www.amazon.in/Diary-Wimpy-Kid-Getaway-book/dp/0141385294?_encoding=UTF8&psc=1,Jeff Kinney,   213.00,4.7 out of 5 stars,297
Indian Art and Culture,http://www.amazon.in/Indian-Art-Culture-Nitin-Singhania/dp/9387067548?_encoding=UTF8&psc=1,Nitin Singhania,   309.00,4.5 out of 5 stars,130
Rich Dad Poor Dad: What the Rich Teach their Kids About Money that the Poor and Middle Class Do Not! (With Updates for Today's World),http://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194?_encoding=UTF8&psc=1,Robert T Kiyosaki,   259.00,4.5 out of 5 stars,"2,514"
Indian Economy,http://www.amazon.in/Indian-Economy-Ramesh-Singh/dp/9352606140?_encoding=UTF8&psc=1,Ramesh Singh,   477.00,3.9 out of 5 stars,340
Wings of Fire: An Autobiography of Abdul Kalam,http://www.amazon.in/Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461?_encoding=UTF8&psc=1,Arun Tiwari,   198.00,4.6 out of 5 stars,"1,839"
The Immortals of Meluha (Shiva Trilogy),http://www.amazon.in/Immortals-Meluha-Shiva-Trilogy/dp/9380658745?_encoding=UTF8&psc=1,Amish,   156.00,4.6 out of 5 stars,"2,183"
Mathematics for Class 10 by R D Sharma (2018-19 Session),http://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193647920?_encoding=UTF8&psc=1,R.D. Sharma,not available,4.7 out of 5 stars,22
"Zero to One: Note on Start Ups, or How to Build the Future",http://www.amazon.in/Zero-One-Start-Build-Future/dp/0753555190?_encoding=UTF8&psc=1,Peter Thiel,   259.00,4.3 out of 5 stars,799
Concepts of Physics 2,http://www.amazon.in/Concepts-Physics-2-H-C-Verma/dp/8177092324?_encoding=UTF8&psc=1,H.C. Verma,   282.00,4.6 out of 5 stars,432
Mathematics for Class 9 by R D Sharma (2018-19 Session),http://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193647912?_encoding=UTF8&psc=1,R.D. Sharma,   355.00,4.5 out of 5 stars,12
How to Win Friends and Influence People,http://www.amazon.in/How-Win-Friends-Influence-People/dp/8192910997?_encoding=UTF8&psc=1,Dale Carnegie,   99.00,4.5 out of 5 stars,"1,835"
Exam Warriors,http://www.amazon.in/Exam-Warriors-Narendra-Modi/dp/0143441507?_encoding=UTF8&psc=1,Narendra Modi,   57.00,4.4 out of 5 stars,309
Elon Musk: How the Billionaire CEO of Spacex and Tesla is Shaping Our Future,http://www.amazon.in/Elon-Musk-Billionaire-Spacex-Shaping/dp/0753555638?_encoding=UTF8&psc=1,Ashlee Vance,   363.00,4.6 out of 5 stars,541
Pathfinder for NDA & NA National Defence Academy Naval Academy Entrance Examination,http://www.amazon.in/Pathfinder-National-Defence-Entrance-Examination/dp/9312146734?_encoding=UTF8&psc=1,Arihant Experts,   501.00,4.2 out of 5 stars,21
Environment,http://www.amazon.in/Environment-Shankar/dp/B00Q6Q5WHS?_encoding=UTF8&psc=1,Shankar,   400.00,4.2 out of 5 stars,395
Origin: Number 5 of the Robert Langdon Series,http://www.amazon.in/Origin-Number-5-Robert-Langdon/dp/0593078756?_encoding=UTF8&psc=1,Dan Brown,   400.00,4.0 out of 5 stars,826
Why I Am a Hindu,http://www.amazon.in/Why-Hindu-Dr-Shashi-Tharoor/dp/9386021102?_encoding=UTF8&psc=1,Dr. Shashi Tharoor,   398.00,3.6 out of 5 stars,109
The Intelligent Investor (English) Paperback – 2013,http://www.amazon.in/Intelligent-Investor-English-Paperback-2013/dp/0062312685?_encoding=UTF8&psc=1,Benjamin Graham,   398.00,4.3 out of 5 stars,719
"Sita - Warrior of Mithila (Book 2- Ram Chandra Series): An adventure thriller that follows Lady Sita’s journey, set in mythological times",http://www.amazon.in/Sita-Warrior-adventure-thriller-mythological/dp/9386224585?_encoding=UTF8&psc=1,Amish Tripathi,   195.00,4.2 out of 5 stars,"1,522"
The Monk Who Sold His Ferrari,http://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X?_encoding=UTF8&psc=1,Robin Sharma,   169.00,4.5 out of 5 stars,"2,449"
Principles and Practices of Banking,http://www.amazon.in/Principles-Practices-Banking-IIBF/dp/9350597292?_encoding=UTF8&psc=1,IIBF,   360.00,4.5 out of 5 stars,191
The Secret,http://www.amazon.in/Secret-Rhonda-Byrne/dp/1847370292?_encoding=UTF8&psc=1,Rhonda Byrne,   416.00,4.5 out of 5 stars,"1,219"
Certificate Physical and Human Geography,http://www.amazon.in/Certificate-Physical-Human-Geography-Cheng/dp/0195628160?_encoding=UTF8&psc=1,Goh Cheng Leong,   260.00,4.2 out of 5 stars,658
Keepers of the Kalachakra: The latest thriller in the Bharat Series by bestselling author Ashwin Sanghi,http://www.amazon.in/Keepers-Kalachakra-latest-thriller-bestselling/dp/9386850648?_encoding=UTF8&psc=1,Ashwin Sanghi,   219.00,4.2 out of 5 stars,203
Accounting and Finance for Bankers,http://www.amazon.in/Accounting-Finance-Bankers-Med/dp/9350598485?_encoding=UTF8&psc=1,Med,   439.00,4.5 out of 5 stars,191
Attitude Is Everything: Change Your Attitude ... Change Your Life!,http://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071?_encoding=UTF8&psc=1,Jeff Keller,   121.00,4.5 out of 5 stars,218
Inner Engineering: A Yogi’s Guide to Joy,http://www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845?_encoding=UTF8&psc=1,Sadhguru,   173.00,4.7 out of 5 stars,831
Legal and Regulatory Aspects of Banking - JAIIB (3rd Edition),http://www.amazon.in/Legal-Regulatory-Aspects-Banking-JAIIB/dp/9350597284?_encoding=UTF8&psc=1,IIBF,   439.00,4.4 out of 5 stars,189
The 7 Habits of Highly Effective People,http://www.amazon.in/Habits-Highly-Effective-People/dp/1471131823?_encoding=UTF8&psc=1,R. Stephen Covey,   296.00,4.0 out of 5 stars,841
Catalyst,http://www.amazon.in/Catalyst-Chandramouli-Venkatesan/dp/0143442473?_encoding=UTF8&psc=1,Chandramouli,   200.00,4.4 out of 5 stars,32
15 Years' Solved Papers JEE Main,http://www.amazon.in/Years-Solved-Papers-JEE-Main/dp/9311126276?_encoding=UTF8&psc=1,Vikas Jain,   325.00,4.3 out of 5 stars,41
